name,address,hours
Cowboy Jack Bar,"Ц-1, ул. Садыка Азимова, 1/28, Юнусабадский район",
Coyote Bar,"ул. Кичик Халка Йули, Мирзо-Улугбекский район",
Cozy Grill & Bar,"ул. Абдуллы Кадыри, 1, Юнусабадский район",13:00-00:00
Creative Catering,"ул. Махмуда Тараби, 27, Яккасарайский район",
Credo,"ул. Истиклол, 12, Юнусабадский район",11:00-23:00
Crepes club,"ул. Ахмада Дониша, Юнусабадский район",11:00-23:00
Cringe Bar,"ул. Шота Руставели, 39, Яккасарайский район",14:00-23:00
Crystal Garden Restaurant,"просп. Амира Темура, 15, Юнусабадский район",16:00-03:00
Crystal Lounge-Bar,"ул. Шарафа Рашидова, 71, Мирзо-Улугбекский район",
CubA,"Круг Рохат, «Бахт Кули», Бектемирский район",
Cubano,"ул. Мухаммада Юсуфа, Мирзо-Улугбекский район",
Dacha,"ул. Мирабад, 35, Мирабадский район",08:00-23:00
Dark Hall restaurant & lounge bar,"ул. Садыка Азимова, 67, Мирабадский район",
Daro Art Cafe,"ул. Дагестанская, Мирзо-Улугбекский район",11:00-23:00
Darxon,"просп. Мустакиллик, 88, Мирзо-Улугбекский район",11:00-22:00
Dastarhan Restaurant & Lounge Bar,"ул. Паркентская, 43А, Мирзо-Улугбекский район",09:00-23:00
Dayako Chicken,"ул. Янги Ташкент, блок 1, Шайхантахурский район",11:00-23:00
Dayako Chicken,"ул. Ислама Каримова, 2, Шайхантахурский район",12:00-00:00
Dayako Chicken & Beer,"ул. 9-й проезд Абдуллы Каххара, 16А, Яккасарайский район",10:00-23:30
Deja-vu,"40 лет Победы, Яшнабадский район",
Deniz,"ул. Лабзак, 103, Шайхантахурский район",
Dessert Cafe,"ул. Буюк Турон, 56, Юнусабадский район",12:00-23:00
Diamond Karaoke,"Сергели, 2, Сергелийский район",
DiGavi,"ул. Шахрисабз, 16А, Мирабадский район",12:00-00:00
Dil-Nur,"Бостанлыкский район, поселок «Ходжикент»",10:30-23:00
Dilbarim,"ул. Янгиерская, 25, Олмазорский район",08:00-23:00
Divan by Demir,"ул. Садыка Азимова, 49А, Яшнабадский район",11:00-23:00
Diyor,"ул. Осиё, 85А, Юнусабадский район",11:00-23:00
Dizengof/99,"пр. Олой Бозори, 64, 1-й этаж, Юнусабадский район",10:00-23:00
Dodo Pizza,"ул. Буюк Ипак Йули, 123, Мирзо-Улугбекский район",
Dodo Pizza,"ул. Саида Барака, 16Б, Мирабадский район",-
Dolce Freddo,"ул. Беруни, 100, Олмазорский район",
Dolce Italia,"Ц1, ул. Шастри, 26, Мирзо-Улугбекский район",12:00-22:30
Dolce Italia,"ул. Шахрисабз, 8, Мирабадский район",12:00-22:30
Dolce Italia,"ул. А.Ходжаева, 5А, Шайхантахурский район",11:00-22:00
Dolce Italia,"ул. Буюк Ипак Йули, 123, Мирзо-Улугбекский район",11:00-22:00
Dolce Italia,"ул. Ислама Каримова, 17, Мирабадский район",11:00-22:00
Dolce Italia,"ул. Лабзак, Шайхантахурский район",10:00-22:00
Dolcetto Bakery,"ул. Авлиё-оота, 65, Мирабадский район",
Domino Coffee House,"ул. Бабура, 6, Яккасарайский район",11:00-23:00
Doncella,"просп. Амира Темура, 46А, Юнусабадский район",08:00-23:00
Dong Fang,"ул. Каблукова, 24, Юнусабадский район",11:30-22:00
Donna Lucien,"ул. Дурмон Йули, 51, Мирзо-Улугбекский район",09:30-22:30
Dostavkin.uz,"туп. Акбара Мирокилова, 1, Мирабадский район",11:00-22:00
Downtown - Lounge & Bar,"площадь Хамида Алимджана, 13А, Мирзо-Улугбекский район",11:00-23:45
Dozari,"ул. Зарафшан, 1, Мирабадский район",16:00-05:00
Dubai,"ул. Дийдор, 71А, Чиланзарский район",12:00-23:00
Dubai,"ул. Усмана Носира, 57, Яккасарайский район",09:00-23:00
Dublin Irish Pub,"ул. Абдулла Кодирий, 1, Шайхантахурский район",
Dudek Restaurant&Bar,"ул. Мукими, 42, Яккасарайский район",11:00-23:00
Dun Dun,"ул. Катартал, Чиланзарский район",
Dunyo,"ул. Кушбеги, 6, Яккасарайский район",09:00-00:00
Dutor,"ул. Кичик Халка Йули, 340, Олмазорский район",09:00-23:00
DЫM & DREAM,"ул. Нукус, 90А, Мирабадский район",10:00-00:00
East House,"ул. Осие, 37, Юнусабадский район",10:00-23:00
Eco Cafe,"ул. 1-й проезд Олмачи, 37, Мирзо-Улугбекский район",
Ecorn,"ул. Чимкентская, 9, Мирабадский район",08:00-22:00
Ecorn,"Ц-1, ул. Садыка Азимова, 52, Мирзо-Улугбекский район",08:00-22:00
Ecorn,"ул. Мирабад, 12, кв. 217, Мирабадский район",08:00-22:00
Efendi,"ул. Садыка Азимова, 79А, Мирабадский район",09:00-22:00
Ege Turk Restaurant,"массив Киёт, 72, Юнусабадский район",
Egoist,"ул. Новомосковская, Мирзо-Улугбекский район",
El Cascada,"ул. Конституции, 56, Яккасарайский район",
El Toro,"ул. Султанали Машхадий, 81, Яшнабадский район",10:00-23:00
Elephant,"ул. Бадахшон, 2-й проезд, 786А, Мирабадский район",
Elmundo dulse,"ул. Сыракульская, 9, Мирабадский район",
Emir,"ул. Арнасай, 7/1, Чиланзарский район",11:00-
Emirates Lounge Bar,"ул. Осиё, 41, Юнусабадский район",
Encir,"ул. Абая, 12, Шайхантахурский район",12:00-00:00
Escobar,"ул. Фаргона Йули, 794, Бектемирский район",
Europa,"просп. Амира Темура, 88, Юнусабадский район",12:00-23:30
Event Cafe,"ул. Хамида Алимджана, 13А, Юнусабадский район",
